10,3415,45,0,0
20,6836,85,2,0
30,10302,121,2,0
40,13779,169,3,0
50,17289,208,3,0
60,20809,251,3,0
70,24479,306,4,0
80,28050,335,4,0
90,31602,382,7,1
100,35139,424,7,1
110,38720,461,7,1
120,42154,498,7,1
130,45685,540,7,1
140,49066,581,7,1
150,52607,616,7,1
160,56039,651,9,1
170,59439,682,9,1
180,62927,721,9,1
190,66517,766,10,1
200,70167,810,11,1
210,73570,857,11,1
220,77077,909,12,1
230,80579,938,12,1
240,84121,982,16,1
250,87607,1020,16,1
260,91211,1070,16,1
270,94784,1108,17,1
280,98336,1135,17,1
290,101872,1178,17,1
300,105353,1223,17,1
310,108788,1271,18,1
320,112291,1308,18,1
330,115821,1343,18,1
340,119392,1384,18,1
350,122939,1414,18,1
360,126540,1452,18,1
370,130083,1491,19,1
380,133602,1541,19,1
390,137103,1578,22,2
400,140690,1625,22,2
410,144076,1662,23,2
420,147601,1712,25,2
430,151181,1751,26,2
440,154771,1794,27,2
450,158349,1831,27,2
460,161907,1875,27,2
470,165557,1928,28,2
480,169009,1968,28,2
490,172523,2011,28,2
500,175946,2051,30,2
510,179500,2090,30,2
520,182924,2124,30,2
530,186550,2178,31,2
540,190147,2236,34,2
550,193628,2276,34,2
560,197188,2309,35,2
570,200716,2349,35,2
580,204179,2396,36,2
590,207578,2434,36,2
600,211139,2477,36,2
610,214521,2516,36,2
620,217953,2553,36,2
630,221592,2596,36,2
640,225216,2644,37,2
650,228609,2684,37,2
660,232204,2721,38,2
670,235698,2767,39,2
680,239248,2818,40,2
690,242836,2852,40,2
700,246320,2908,40,2
710,249729,2968,40,2
720,253371,3016,41,2
730,256836,3056,41,2
740,260477,3087,41,2
750,263997,3121,41,2
760,267550,3156,44,2
770,271231,3206,44,2
780,274699,3248,45,2
790,278165,3293,46,2
800,281626,3330,46,2
810,285128,3374,46,2
820,288694,3423,46,2
830,292237,3469,46,2
840,295647,3513,46,2
850,299262,3567,48,2
860,302723,3612,48,2
870,306326,3642,48,2
880,309819,3688,48,2
890,313373,3727,48,2
900,316985,3775,48,2
910,320401,3815,49,2
920,323805,3850,49,2
930,327370,3907,50,2
940,330759,3944,50,2
950,334330,3988,51,2
960,337877,4028,51,2
970,341382,4063,51,2
980,344909,4094,51,2
990,348370,4132,52,2
1000,352027,4158,52,2
1010,355564,4213,52,2
1020,359071,4245,52,2
1030,362562,4286,53,2
1040,365981,4323,53,2
1050,369581,4365,53,2
1060,373066,4405,54,2
1070,376514,4436,54,2
1080,379903,4477,55,2
1090,383447,4524,55,2
1100,386977,4575,57,2
1110,390545,4608,57,2
1120,394058,4662,58,2
1130,397552,4699,58,2
1140,400979,4737,58,2
1150,404654,4775,59,2
1160,408142,4804,60,2
1170,411569,4848,61,2
1180,415205,4899,61,2
1190,418800,4948,62,2
1200,422271,4987,65,2
1210,425882,5023,65,2
1220,429466,5063,65,2
1230,433016,5101,65,2
1240,436493,5130,65,2
1250,439898,5177,65,2
1260,443312,5221,65,2
1270,446884,5274,66,2
1280,450423,5312,66,2
1290,454028,5354,67,2
1300,457567,5400,67,2
1310,460940,5443,67,2
1320,464487,5491,67,2
1330,467857,5542,67,2
1340,471468,5588,69,2
1350,475024,5634,69,2
1360,478648,5668,69,2
1370,482187,5721,69,2
1380,485710,5750,69,2
1390,489194,5804,69,2
1400,492600,5838,69,2
1410,496193,5881,69,2
1420,499818,5928,70,2
1430,503438,5981,70,2
1440,507042,6015,71,2
1450,510625,6061,71,2
1460,514107,6090,71,2
1470,517437,6117,72,2
1480,520990,6158,72,2
1490,524595,6200,73,2
1500,528109,6233,75,2
1510,531796,6289,75,2
1520,535325,6340,75,2
1530,538720,6385,77,2
1540,542237,6430,77,2
1550,545745,6470,78,2
1560,549263,6507,78,2
1570,552735,6551,79,2
1580,556268,6603,79,2
1590,559858,6649,79,2
1600,563371,6687,80,2
1610,566908,6733,80,2
1620,570413,6783,81,2
1630,573900,6827,82,2
1640,577522,6870,85,2
1650,581094,6911,86,2
1660,584589,6953,87,2
1670,588137,6985,87,2
1680,591742,7023,88,2
1690,595246,7070,89,2
1700,598826,7105,89,2
1710,602294,7142,89,2
1720,605739,7180,89,2
1730,609221,7218,90,2
1740,612753,7260,91,2
1750,616320,7305,91,2
1760,619918,7339,91,2
1770,623319,7374,91,2
1780,626808,7416,92,2
1790,630309,7460,95,2
1800,633893,7496,95,2
1810,637520,7546,96,2
1820,641069,7593,96,2
1830,644673,7640,96,2
1840,648280,7682,97,2
1850,651823,7735,98,2
1860,655365,7780,99,2
1870,658900,7827,99,2
1880,662537,7863,99,2
1890,666086,7912,99,2
1900,669655,7952,99,2
1910,673107,7993,101,2
1920,676701,8038,102,2
1930,680249,8084,102,2
1940,683729,8122,102,2
1950,687334,8167,102,2
1960,690842,8217,102,2
1970,694342,8254,102,2
1980,697763,8293,102,2
1990,701267,8336,103,2
2000,704915,8377,103,2
2010,708608,8433,105,3
2020,712217,8481,105,3
2030,715689,8520,106,3
2040,719272,8576,107,3
2050,722822,8626,108,3
2060,726387,8665,108,3
2070,729914,8709,108,3
2080,733432,8759,109,3
2090,737007,8809,109,3
2100,740582,8858,109,3
2110,744070,8906,110,3
2120,747512,8947,110,3
2130,751086,8983,110,3
2140,754625,9021,111,3
2150,758163,9050,111,3
2160,761688,9089,112,3
2170,765198,9147,112,3
2180,768682,9190,112,3
2190,772073,9227,113,3
2200,775564,9269,116,3
2210,779084,9324,117,3
2220,782524,9373,119,3
2230,786095,9415,119,3
2240,789616,9456,121,4
2250,793320,9493,121,4
2260,796945,9525,121,4
2270,800504,9568,123,4
2280,804005,9624,123,4
2290,807431,9655,123,4
2300,811121,9706,123,4
2310,814572,9743,124,4
2320,818059,9786,124,4
2330,821579,9839,125,4
2340,825256,9889,125,4
2350,828731,9927,126,4
2360,832281,9979,126,4
2370,835712,10018,126,4
2380,839258,10062,126,4
2390,842854,10109,126,4
2400,846200,10159,128,4
2410,849787,10217,131,4
2420,853383,10259,131,4
2430,857022,10313,131,4
2440,860519,10351,131,4
2450,864105,10384,131,4
2460,867587,10422,132,4
2470,871138,10459,133,4
2480,874627,10498,133,4
2490,878116,10531,133,4
2500,881533,10565,133,4
2510,885007,10609,133,4
2520,888624,10669,133,4
2530,892044,10702,133,4
2540,895629,10740,133,4
2550,899187,10794,134,4
2560,902678,10845,134,4
2570,906269,10891,135,4
2580,909860,10932,135,4
2590,913421,10969,135,4
2600,916918,11017,135,4
2610,920330,11063,136,4
2620,923853,11107,136,4
2630,927366,11155,136,4
2640,930936,11207,136,4
2650,934512,11253,140,5
2660,938149,11307,142,5
2670,941711,11356,143,5
2680,945258,11383,143,5
2690,948914,11433,144,5
2700,952306,11472,144,5
2710,955805,11516,144,5
2720,959302,11556,144,5
2730,962896,11599,144,5
2740,966271,11634,144,5
2750,969660,11674,144,5
2760,973416,11724,144,5
2770,976806,11756,145,5
2780,980362,11796,145,5
2790,984025,11837,145,5
2800,987623,11875,145,5
2810,991142,11920,146,5
2820,994649,11960,146,5
2830,998238,12010,147,5
2840,1001853,12051,147,5
2850,1005305,12100,147,5
2860,1008796,12139,147,5
2870,1012276,12183,148,5
2880,1015868,12228,149,5
2890,1019238,12269,151,5
2900,1022759,12309,152,5
2910,1026359,12365,153,5
2920,1029864,12407,153,5
2930,1033371,12450,153,5
2940,1036739,12490,154,5
2950,1040102,12524,155,5
2960,1043674,12572,156,5
2970,1047109,12607,156,5
2980,1050634,12656,156,5
2990,1054114,12696,156,5
3000,1057681,12742,157,5
3010,1061182,12786,158,5
3020,1064726,12823,160,5
3030,1068275,12866,162,6
3040,1071829,12919,162,6
3050,1075306,12960,162,6
3060,1078914,13003,162,6
3070,1082430,13054,163,6
3080,1086003,13086,163,6
3090,1089504,13137,164,6
3100,1092950,13179,164,6
3110,1096586,13222,165,6
3120,1099936,13252,165,6
3130,1103481,13302,166,6
3140,1106958,13349,166,6
3150,1110397,13385,167,6
3160,1113939,13433,169,6
3170,1117416,13478,169,6
3180,1120850,13519,170,6
3190,1124391,13571,171,6
3200,1127797,13618,171,6
3210,1131380,13659,171,6
3220,1134980,13710,171,6
3230,1138458,13749,172,6
3240,1142125,13815,176,7
3250,1145754,13859,176,7
3260,1149106,13895,176,7
3270,1152592,13935,177,7
3280,1156076,13965,178,7
3290,1159805,14004,179,7
3300,1163448,14037,179,7
3310,1167054,14082,179,7
3320,1170680,14119,180,7
3330,1174118,14163,180,7
3340,1177735,14201,182,7
3350,1181243,14264,183,7
3360,1184678,14297,183,7
3370,1188221,14341,185,7
3380,1191829,14368,185,7
3390,1195331,14420,185,7
3400,1198808,14467,185,7
3410,1202326,14511,185,7
3420,1205865,14564,185,7
3430,1209366,14608,185,7
3440,1212860,14640,186,7
3450,1216377,14685,187,7
3460,1219986,14733,187,7
3470,1223528,14763,187,7
3480,1226990,14796,187,7
3490,1230257,14823,187,7
3500,1233636,14863,188,7
3510,1237380,14919,190,7
3520,1241062,14964,190,7
3530,1244458,15022,191,7
3540,1247981,15057,191,7
3550,1251442,15099,193,7
3560,1254952,15142,193,7
3570,1258430,15185,194,7
3580,1261991,15228,195,7
3590,1265474,15271,195,7
3600,1268942,15302,195,7
3610,1272588,15342,195,7
3620,1276002,15376,195,7
3630,1279444,15432,195,7
3640,1283044,15476,197,7
3650,1286515,15520,199,7
3660,1290163,15561,199,7
3670,1293854,15613,201,7
3680,1297371,15672,202,7
